Country,Region,Population,Income,LifeExpectancy
Afghanistan,ASIA,31056997,700,61.726
Albania, EUROPE                     ,3581655,4500,77.807
Algeria ,AFRICA                    ,32930091,6000,71.246
Angola ,AFRICA                 ,12127071,1900,52.698
Argentina ,LATIN AMERICA,39921833,11200,76.661
Armenia ,ASIA,2976372,3500,74.78
Aruba ,LATIN AMERICA,71891,28000,75.718
Australia ,OCEANIA                            ,20264082,29000,82.767
Austria , EUROPE                     ,8192880,30000,81.46
Azerbaijan ,ASIA,7961619,3400,70.916
"Bahamas, The ",LATIN AMERICA,303770,16700,75.553
Bahrain ,ASIA,698585,16900,76.88
Bangladesh ,ASIA,147365352,1900,71.435
Barbados ,LATIN AMERICA,279912,15700,75.699
Belarus ,EUROPE,10293011,6100,70.144
Belgium , EUROPE                     ,10379067,29100,80.886
Belize ,LATIN AMERICA,287730,4900,74.3
Benin ,AFRICA                 ,7862944,1100,59.664
Bhutan ,ASIA,2279723,1300,69.079
Bolivia ,LATIN AMERICA,8989046,2400,67.813
Bosnia & Herzegovina , EUROPE                     ,4498976,6100,67.813
Botswana ,AFRICA                 ,1639833,9000,48.669
Brazil ,LATIN AMERICA,188078227,7600,74.468
British Virgin Is. ,LATIN AMERICA,23098,16000,74.468
Brunei ,ASIA,379444,18600,78.937
Bulgaria , EUROPE                     ,7385367,7600,73.758
Burkina Faso ,AFRICA                 ,13902972,1100,57.145
Burma ,ASIA,47382633,1800,57.145
Burundi ,AFRICA                 ,8090068,600,54.953
Cambodia ,ASIA,13881427,1900,72.596
Cameroon ,AFRICA                 ,17340702,1800,55.958
Canada ,AMERICA                   ,33098932,29800,81.778
Cape Verde ,AFRICA                 ,420979,1400,75.711
Central African Rep. ,AFRICA                 ,4303356,1100,51.412
Chad ,AFRICA                 ,9944201,1200,52.058
Chile ,LATIN AMERICA,16134219,9900,80.457
China ,ASIA,1313973713,5000,75.636
Colombia ,LATIN AMERICA,43593035,6300,74.443
Comoros ,AFRICA                 ,690948,700,61.288
"Congo, Dem. Rep. ",AFRICA                 ,62660551,700,50.581
"Congo, Repub. of the ",AFRICA                 ,3702314,700,59.598
Costa Rica ,LATIN AMERICA,4075261,9100,80.355
Cote d'Ivoire ,AFRICA                 ,17654843,1400,51.459
Croatia , EUROPE                     ,4494749,10600,77.388
Cuba ,LATIN AMERICA,11382820,2900,79.612
Cyprus ,ASIA,784301,19200,80.174
Czech Republic , EUROPE                     ,10235455,15700,77.979
Denmark , EUROPE                     ,5450661,31100,79.671
Djibouti ,AFRICA                 ,486530,1300,62.688
Dominican Republic ,LATIN AMERICA,9183984,6000,73.838
East Timor ,ASIA,1062777,500,73.838
Ecuador ,LATIN AMERICA,13547510,3300,76.999
Egypt ,AFRICA                    ,78887007,4000,71.586
El Salvador ,LATIN AMERICA,6822378,4800,73.064
Equatorial Guinea ,AFRICA                 ,540109,2700,53.972
Eritrea ,AFRICA                 ,4786994,700,63.875
Estonia ,BALTICS                            ,1324333,12300,74.684
Ethiopia ,AFRICA                 ,74777981,700,64.772
Fiji ,OCEANIA                            ,905949,5800,70.17
Finland , EUROPE                     ,5231372,27400,80.855
France , EUROPE                     ,60876136,27600,82.108
French Guiana ,LATIN AMERICA,199509,8300,77.582
